COD_PLAN,AVANCE_CARRERA,COD_ACCESO,COD_SUBACCESO,CONVOCATORIA,APERTURA,T_DOCUMENTO,GENERO,EDAD,NUMERO_MATRICULAS,PAPA,PROME_ACADE,PBM_CALCULADO,ESTRATO,COD_DEPTO_RESIDENCIA,COD_MUN_RESIDENCIA,COD_PROVINCIA,COD_MINICIPIO,COD_NACIONALIDAD,VICTIMAS_DEL_CONFLICTO,DISCAPACIDAD,CARACTER_COLEGIO,PUNTAJE_ADMISION
L006,"79,10",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,32,9.0,"4,10","4,10",11,2,,,20.0,1.0,170,0,0,1,
L002,"45,20",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,27,9.0,"3,70","3,80",5,2,,,20.0,1.0,170,0,0,1,
L002,"51,60",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,27,9.0,"3,50","3,50",28,2,,,20.0,1.0,170,0,0,1,
L006,"58,80",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,27,9.0,"4,20","4,20",6,2,,,20.0,1.0,170,0,0,1,
L002,"63,90",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,22,9.0,"3,80","3,80",1,1,,,11.0,1.0,170,0,0,1,
L006,"62,60",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,"4,70","4,70",8,2,,,17.0,1.0,170,0,0,1,
L005,"72,30",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,"4,20","4,20",10,3,,,20.0,1.0,170,0,0,1,
L003,"68,10",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,28,9.0,"4,20","4,30",2,1,20.0,621.0,20.0,621.0,170,0,0,1,
L004,"85,30",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,32,10.0,"4,50","4,50",1,0,,,20.0,1.0,170,0,0,1,
L006,"53,80",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,"3,80","3,90",7,2,,,20.0,1.0,170,0,0,1,
L005,"54,80",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,28,10.0,"3,40","3,50",4,1,20.0,1.0,44.0,855.0,170,0,0,1,
L001,"62,60",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,27,10.0,"4,40","4,40",6,0,20.0,1.0,20.0,1.0,170,0,0,1,
L003,"76,60",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,22,9.0,"4,10","4,10",15,3,20.0,621.0,20.0,1.0,170,0,0,1,
L006,"62,10",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,24,10.0,"4,00","4,00",2,1,20.0,621.0,20.0,1.0,170,0,0,1,
L004,"75,30",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,22,10.0,"4,30","4,30",21,2,20.0,1.0,20.0,1.0,170,0,0,0,
L005,"32,20",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,19,5.0,"3,80","3,80",48,1,,,47.0,545.0,170,0,0,0,595.87
L001,"26,80",1,29,2022-1S,2022-1S,TARJETA IDENTIDAD,HOMBRE,18,5.0,"3,50","3,50",22,3,,,20.0,1.0,170,0,0,1,496.87
L001,"20,10",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,30,5.0,"3,30","3,30",4,2,44.0,874.0,44.0,874.0,170,0,0,1,390.72
L002,"23,90",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,22,5.0,"3,60","3,70",4,2,20.0,1.0,47.0,545.0,170,0,0,1,360.82
L005,"24,30",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,20,5.0,"3,50","3,50",1,1,,,20.0,1.0,170,0,0,1,484.03
L005,"20,30",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,18,5.0,"3,50","3,50",7,2,,,20.0,621.0,170,0,0,1,590.07
L001,"24,60",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,18,5.0,"3,70","3,70",2,1,,,20.0,1.0,170,0,0,1,435.09
L003,"34,00",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,21,5.0,"4,20","4,20",1,1,,,20.0,1.0,170,0,0,1,328.65
L003,"31,90",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,20,5.0,"4,00","4,00",1,1,20.0,443.0,20.0,443.0,170,0,0,1,407.83
L003,"31,20",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,20,5.0,"3,70","3,90",33,7,,,20.0,310.0,170,0,0,1,375.2
L001,"24,00",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,22,5.0,"3,60","3,60",5,2,20.0,1.0,20.0,1.0,170,0,0,1,423.23
L003,"29,80",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,35,5.0,"4,00","4,20",2,1,,,20.0,621.0,170,0,0,1,418.22
L004,"16,70",1,29,2022-1S,2022-1S,TARJETA IDENTIDAD,HOMBRE,20,5.0,"3,20","3,20",1,1,20.0,621.0,20.0,60.0,170,0,0,1,451.01
L004,"22,00",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,20,5.0,"3,50","3,50",10,1,20.0,1.0,47.0,58.0,170,0,0,1,437.04
L001,"28,50",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,19,5.0,"3,80","3,80",1,1,20.0,750.0,20.0,1.0,170,0,0,1,389.2
L005,"9,60",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,19,5.0,"3,10","3,40",2,1,,,20.0,175.0,170,0,0,Nocturno,417.99
L004,"26,70",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,19,5.0,"3,90","3,90",38,1,,,20.0,1.0,170,0,0,1,395.34
L003,"34,00",1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,19,5.0,"4,00","4,00",1,1,,,25.0,817.0,170,0,0,1,453.07
L005,"67,80",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,"4,20","4,20",7,1,,,47.0,58.0,170,0,0,0,544.78
L004,"50,70",1,29,2021-1S,2021-1S,NUMERO DE CEDULA,MUJER,21,7.0,"4,20","4,20",34,1,20.0,1.0,20.0,1.0,170,0,0,1,548.65
L002,"56,10",1,29,2021-1S,2021-1S,NUMERO DE CEDULA,MUJER,19,7.0,"4,30","4,30",5,0,20.0,621.0,20.0,1.0,170,0,0,1,483.53
L006,"45,60",1,29,2021-1S,2021-1S,NUMERO DE CEDULA,HOMBRE,19,7.0,"3,90","3,90",5,2,,,20.0,1.0,170,0,0,1,604.92
L002,"45,20",1,29,2021-1S,2021-1S,NUMERO DE CEDULA,HOMBRE,19,7.0,"3,80","3,90",6,2,,,47.0,245.0,170,0,0,1,454.71
L001,"34,60",1,29,2021-1S,2021-1S,NUMERO DE CEDULA,MUJER,23,7.0,"4,10","4,10",3,1,,,20.0,1.0,170,0,0,1,470.69
L002,"35,50",1,29,2021-1S,2021-1S,NUMERO DE CEDULA,MUJER,24,7.0,"3,50","3,50",5,2,,,20.0,750.0,170,0,0,1,340.64
L002,"56,10",1,29,2021-1S,2021-1S,NUMERO DE CEDULA,HOMBRE,22,7.0,"4,10","4,10",2,1,20.0,228.0,20.0,228.0,170,0,0,1,311.69
L004,"48,70",1,29,2021-1S,2021-1S,NUMERO DE CEDULA,MUJER,22,7.0,"4,20","4,20",13,1,,,20.0,621.0,170,0,0,1,490.0
L001,"43,00",1,29,2021-1S,2021-1S,NUMERO DE CEDULA,HOMBRE,21,7.0,"3,70","3,90",3,1,20.0,750.0,13.0,836.0,170,0,0,1,488.2
L001,"49,70",1,29,2021-1S,2021-1S,NUMERO DE CEDULA,HOMBRE,19,7.0,"4,10","4,10",6,2,,,20.0,60.0,170,0,0,0,460.51
L001,"65,40",1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,22,8.0,"4,10","4,10",5,1,20.0,13.0,20.0,178.0,170,0,0,1,
L004,"59,30",1,29,2020-2S,2020-2S,NUMERO DE CEDULA,HOMBRE,20,7.0,"4,70","4,70",6,1,,,20.0,11.0,170,0,0,1,530.0
L001,"57,00",1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,20,8.0,"4,20","4,20",4,1,,,20.0,1.0,170,0,0,1,506.15
L003,"38,30",1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,22,8.0,"3,60","3,70",2,0,,,20.0,1.0,170,0,0,1,
L004,"62,70",1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,20,8.0,"4,20","4,20",1,1,,,20.0,13.0,170,0,0,1,446.92
L003,"70,20",1,29,2020-2S,2020-2S,NUMERO DE CEDULA,HOMBRE,20,8.0,"4,10","4,10",2,0,20.0,13.0,20.0,13.0,170,0,0,1,
L006,"28,60",1,29,2020-2S,2020-2S,NUMERO DE CEDULA,HOMBRE,21,8.0,"3,50","3,60",2,1,20.0,1.0,20.0,60.0,170,0,0,1,
L001,"59,80",1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,22,8.0,"4,10","4,10",1,1,,,20.0,228.0,170,0,0,1,
L003,"61,70",1,29,2020-2S,2020-2S,NUMERO DE CEDULA,HOMBRE,27,8.0,"4,20","4,20",2,1,,,20.0,443.0,170,0,0,1,
L005,"55,40",1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,19,8.0,"4,40","4,40",6,1,,,20.0,1.0,170,0,0,1,608.46
L004,"59,30",1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,21,8.0,"4,20","4,20",2,1,20.0,443.0,20.0,621.0,170,0,0,1,
L005,"41,80",1,29,2020-2S,2020-2S,NUMERO DE CEDULA,HOMBRE,25,8.0,"4,00","4,00",52,7,,,20.0,228.0,170,0,0,1,
L005,"26,00",1,29,2021-2S,2021-2S,NUMERO DE CEDULA,MUJER,20,6.0,"3,70","3,70",1,1,20.0,621.0,20.0,1.0,170,0,0,1,454.75
L001,"41,30",1,29,2021-2S,2021-2S,NUMERO DE CEDULA,MUJER,20,6.0,"4,30","4,30",11,2,20.0,1.0,20.0,1.0,170,0,0,1,530.87
L005,"26,00",1,29,2021-2S,2021-2S,NUMERO DE CEDULA,MUJER,27,6.0,"4,00","4,00",1,1,20.0,443.0,20.0,400.0,170,0,0,1,406.4
L003,"38,30",1,29,2021-2S,2021-2S,NUMERO DE CEDULA,HOMBRE,26,6.0,"3,90","3,90",8,1,,,20.0,1.0,170,0,0,1,351.27
L001,"38,50",1,29,2021-2S,2021-2S,NUMERO DE CEDULA,MUJER,19,6.0,"4,20","4,20",1,1,,,20.0,1.0,170,0,0,1,460.64
L006,"22,50",1,29,2021-2S,2021-2S,TARJETA IDENTIDAD,HOMBRE,19,6.0,"3,60","3,70",5,1,,,20.0,787.0,170,0,0,1,477.64
L005,"32,20",1,29,2021-2S,2021-2S,NUMERO DE CEDULA,MUJER,20,6.0,"4,10","4,10",24,2,,,5.0,1.0,170,0,0,0,530.3
L003,"42,60",1,29,2021-2S,2021-2S,NUMERO DE CEDULA,HOMBRE,22,6.0,"4,00","4,00",7,1,,,20.0,750.0,170,0,0,Nocturno,253.68
L005,"15,30",1,29,2021-2S,2021-2S,NUMERO DE CEDULA,HOMBRE,21,6.0,"2,90","2,90",5,1,,,20.0,750.0,170,0,0,1,450.71
L005,"39,00",1,29,2021-2S,2021-2S,TARJETA IDENTIDAD,MUJER,20,6.0,"4,00","4,10",6,2,,,20.0,13.0,170,0,0,1,451.19
L001,"17,90",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,MUJER,23,4.0,"3,90","3,90",1,1,,,20.0,621.0,170,0,0,1,387.178
L003,"22,00",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,MUJER,19,4.0,"3,90","3,90",8,2,20.0,443.0,20.0,621.0,170,0,0,1,446.674
L006,"20,90",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,"3,60","3,70",10,2,,,20.0,1.0,170,0,0,1,521.69
L006,"20,90",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,"4,20","4,20",4,2,20.0,1.0,20.0,1.0,170,0,0,1,535.741
L005,"16,40",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,"3,50","3,50",31,3,20.0,1.0,76.0,1.0,170,0,0,0,515.535
L005,"17,50",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,MUJER,21,4.0,"4,40","4,40",3,1,,,20.0,1.0,170,0,0,1,581.564
L005,"15,80",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,"3,70","3,70",14,2,20.0,1.0,20.0,1.0,170,0,0,1,467.365
L006,"20,90",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,18,4.0,"4,20","4,20",25,3,,,68.0,1.0,170,0,0,1,503.61
L002,"11,60",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,MUJER,21,4.0,"3,70","3,70",5,2,20.0,1.0,20.0,1.0,170,0,0,1,444.233
L006,"7,10",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,21,3.0,"4,60","4,60",3,1,20.0,1.0,20.0,1.0,170,0,0,1,538.532
L004,"20,00",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,21,4.0,"4,20","4,20",8,2,,,20.0,1.0,170,0,0,1,358.762
L005,"22,00",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,18,4.0,"4,40","4,40",3,1,20.0,1.0,20.0,1.0,170,0,0,1,570.993
L006,"3,80",1,29,2022-2S,2023-1S,NUMERO DE CEDULA,HOMBRE,21,2.0,"3,50","3,50",9,1,,,47.0,1.0,170,0,0,1,502.507
L004,"20,00",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,"4,30","4,30",7,1,,,20.0,1.0,170,0,0,1,402.814
L004,"4,70",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,MUJER,22,2.0,"4,20","4,20",8,2,,,20.0,1.0,170,0,0,1,479.402
L003,"20,60",1,29,2022-2S,2022-2S,TARJETA IDENTIDAD,MUJER,19,4.0,"4,00","4,00",7,1,,,20.0,1.0,170,0,0,1,411.662
L002,"18,10",1,29,2022-2S,2022-2S,TARJETA IDENTIDAD,HOMBRE,18,4.0,"4,20","4,20",3,1,,,20.0,238.0,170,0,0,1,453.107
L002,"12,90",1,29,2022-2S,2022-2S,TARJETA IDENTIDAD,HOMBRE,19,4.0,"3,50","3,50",3,1,,,20.0,1.0,170,0,0,1,402.476
L004,"22,00",1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,25,4.0,"4,10","4,20",7,1,20.0,1.0,25.0,175.0,170,0,0,1,489.982
L004,"7,30",1,1,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,19,3.0,"4,00","4,00",1,1,,,20.0,443.0,170,0,0,1,521.393
L002,"14,20",1,24,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,22,3.0,"3,90","3,90",11,2,,,20.0,13.0,170,1,0,0,467.645
L004,"10,70",1,24,2023-1S,2023-1S,NUMERO DE CEDULA,MUJER,19,3.0,"3,60","3,60",4,1,,,20.0,750.0,170,1,0,1,473.498
L003,"11,30",1,1,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,26,3.0,"4,40","4,40",32,3,,,20.0,1.0,170,0,0,0,485.525
L003,"11,30",1,24,2023-1S,2023-1S,TARJETA IDENTIDAD,HOMBRE,17,3.0,"4,20","4,20",34,1,,,20.0,1.0,170,1,FISICA,1,504.148
L001,"8,90",1,1,2023-1S,2023-1S,TARJETA IDENTIDAD,MUJER,17,3.0,"4,00","4,00",3,1,,,11.0,1.0,170,0,0,1,559.699
L006,"11,00",1,1,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,19,3.0,"4,30","4,30",9,2,,,20.0,1.0,170,0,0,1,557.867
L005,"11,30",1,24,2023-1S,2023-1S,TARJETA IDENTIDAD,HOMBRE,18,3.0,"4,20","4,20",4,1,,,50.0,1.0,170,1,0,1,546.974
L002,"9,00",1,24,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,21,3.0,"4,10","4,10",11,1,,,20.0,1.0,170,1,0,Nocturno,478.693
L006,"11,00",1,1,2023-1S,2023-1S,TARJETA IDENTIDAD,HOMBRE,16,3.0,"4,60","4,60",21,2,20.0,1.0,20.0,1.0,170,0,0,1,689.648
L003,"9,20",1,24,2023-1S,2023-1S,NUMERO DE CEDULA,MUJER,19,3.0,"3,70","3,70",2,1,,,20.0,1.0,170,1,0,1,412.35
L002,"5,80",1,1,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,22,3.0,"3,40","3,40",17,1,,,11.0,1.0,170,0,0,1,588.914
L004,"9,30",1,21,2023-1S,2023-1S,TARJETA IDENTIDAD,MUJER,18,3.0,"3,80","3,80",38,1,,,20.0,238.0,170,0,0,1,471.011
L004,"14,00",1,24,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,20,3.0,"4,30","4,30",4,0,,,20.0,1.0,170,1,0,1,606.108
L005,"4,00",1,1,2023-2S,2023-2S,NUMERO DE CEDULA,MUJER,19,2.0,"4,30","4,30",14,1,,,20.0,1.0,170,0,0,0,548.17
L005,"0,00",1,21,2024-1S,2024-1S,TARJETA IDENTIDAD,MUJER,16,,,,55,7,,,20.0,1.0,170,0,0,1,516.721
L003,"0,00",1,24,2024-1S,2024-1S,TARJETA IDENTIDAD,HOMBRE,18,,,,53,0,,,20.0,1.0,170,1,0,1,384.163
L004,"0,00",1,24,2024-1S,2024-1S,TARJETA IDENTIDAD,HOMBRE,17,,,,48,1,,,20.0,1.0,170,1,0,1,438.182
L002,"0,00",1,24,2024-1S,2024-1S,NUMERO DE CEDULA,HOMBRE,27,,,,34,1,,,20.0,621.0,170,1,0,1,362.855
L003,"0,00",1,24,2024-1S,2024-1S,NUMERO DE CEDULA,HOMBRE,19,,,,2,1,,,47.0,58.0,170,1,0,1,388.002
L004,"0,00",1,24,2024-1S,2024-1S,NUMERO DE CEDULA,MUJER,26,,,,29,7,,,20.0,1.0,170,1,0,1,426.535
L003,"5,00",1,1,2023-2S,2023-2S,NUMERO DE CEDULA,HOMBRE,25,2.0,"3,90","3,90",5,2,,,20.0,1.0,170,0,0,1,404.663
L002,"4,50",1,3,2023-2S,2023-2S,NUMERO DE CEDULA,HOMBRE,22,2.0,"3,70","3,70",7,0,,,20.0,1.0,170,0,0,1,420.494
L003,"5,00",1,1,2023-2S,2023-2S,NUMERO DE CEDULA,HOMBRE,20,2.0,"4,00","4,00",6,1,,,20.0,1.0,170,0,0,1,431.909
L003,"5,00",1,24,2023-2S,2023-2S,NUMERO DE CEDULA,HOMBRE,23,2.0,"3,80","3,80",2,1,,,47.0,58.0,170,1,0,1,468.435
L002,"2,60",1,24,2023-2S,2023-2S,NUMERO DE CEDULA,HOMBRE,22,2.0,"3,60","3,60",7,2,,,20.0,621.0,170,1,0,0,482.525
L001,"0,00",1,1,2024-1S,2024-1S,TARJETA IDENTIDAD,HOMBRE,17,,,,34,1,,,20.0,1.0,170,0,0,1,550.982
L006,"0,00",1,24,2024-1S,2024-1S,TARJETA IDENTIDAD,HOMBRE,18,,,,38,1,,,68.0,1.0,170,1,0,1,593.247
L004,"4,70",1,1,2023-2S,2023-2S,TARJETA IDENTIDAD,MUJER,18,2.0,"3,80","3,80",8,1,44.0,650.0,44.0,650.0,170,0,0,1,533.098
L006,"3,80",1,1,2023-2S,2023-2S,TARJETA IDENTIDAD,HOMBRE,17,2.0,"4,20","4,20",50,2,,,68.0,276.0,170,0,0,0,554.301
L001,"3,90",1,24,2023-2S,2023-2S,NUMERO DE CEDULA,MUJER,18,2.0,"4,30","4,30",36,1,,,20.0,178.0,170,1,0,1,539.57
L006,"3,80",1,1,2023-2S,2023-2S,TARJETA IDENTIDAD,MUJER,18,2.0,"3,40","3,40",5,1,,,20.0,1.0,170,0,0,Nocturno,552.725
L006,"3,80",1,1,2023-2S,2023-2S,TARJETA IDENTIDAD,HOMBRE,17,2.0,"4,00","4,00",22,1,,,20.0,1.0,170,0,0,1,533.89
L005,"0,00",1,1,2024-1S,2024-1S,TARJETA IDENTIDAD,MUJER,17,,,,12,2,,,20.0,1.0,170,0,0,1,471.543
L006,"0,00",1,1,2024-1S,2024-1S,TARJETA IDENTIDAD,HOMBRE,18,,,,28,2,,,20.0,1.0,170,0,0,1,545.766
L006,"75,30",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,21,10.0,"4,30","4,30",3,1,20.0,1.0,20.0,1.0,170,0,0,1,
L002,"59,40",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,"3,90","4,00",7,2,,,20.0,1.0,170,0,0,1,
L006,"27,50",1,29,2020-1S,2020-1S,TARJETA IDENTIDAD,HOMBRE,22,9.0,"3,40","3,40",2,1,,,20.0,1.0,170,0,0,1,
L006,"46,20",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,"3,50","3,60",25,2,20.0,1.0,20.0,1.0,170,0,0,1,
L001,"46,90",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,"3,70","3,80",15,2,20.0,1.0,11.0,1.0,170,0,0,1,
L006,"52,20",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,22,9.0,"4,10","4,10",10,2,20.0,1.0,8.0,1.0,170,0,0,0,
L006,"74,70",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,"4,30","4,30",8,2,,,20.0,60.0,170,0,0,1,
L004,"64,70",1,29,2020-1S,2020-1S,TARJETA IDENTIDAD,MUJER,21,9.0,"4,00","4,00",5,1,,,20.0,621.0,170,0,0,1,
L005,"50,30",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,"3,90","4,10",18,2,,,20.0,1.0,170,0,0,0,
L002,"50,30",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,22,8.0,"3,80","3,90",5,2,,,20.0,621.0,170,0,0,1,
L006,"68,10",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,22,10.0,"4,40","4,40",9,2,20.0,1.0,20.0,1.0,170,0,0,1,
